 change continuation elaboration joking
"null prompt pos answer" 0.0 0.0 0.0 0.318
"joking change quest pos" 0.0 0.0 0.001 0.0
"change change quest neutral" 0.021 0.025 0.024 0.026
terminal 0.0 0.0 0.0 0.0
"elaboration change answer pos" 0.108 0.107 0.108 0.123
"joking joking answer neutral" 0.417 0.346 0.521 0.279
"joking change answer neutral" 0.776 0.312 0.784 0.351
"joking continuation answer pos" 0.247 0.277 0.747 0.443
"joking elaboration answer neutral" 0.264 0.659 0.809 0.378
"change change answer pos" 0.05 0.045 0.045 0.05
"change continuation answer pos" 0.05 0.05 0.045 0.05
"change elaboration answer neutral" 0.085 0.081 0.082 0.092
"continuation continuation answer neutral" 0.043 0.041 0.045 0.045
"continuation elaboration answer pos" 0.036 0.036 0.036 0.036
"continuation joking answer pos" 0.009 0.009 0.009 0.009
"elaboration continuation answer pos" 0.072 0.076 0.072 0.081
"elaboration continuation answer neutral" 0.063 0.056 0.057 0.063
"elaboration elaboration answer neutral" 0.082 0.081 0.072 0.09
"elaboration joking answer neutral" 0.047 0.048 0.048 0.049
"change continuation quest pos" 0.016 0.016 0.018 0.02
"change joking quest neutral" 0.024 0.022 0.022 0.024
"continuation change answer pos" 0.033 0.036 0.036 0.036
"continuation continuation answer pos" 0.044 0.04 0.04 0.044
"continuation joking answer neutral" 0.036 0.028 0.036 0.036
"elaboration joking answer pos" 0.018 0.016 0.016 0.014
"change joking answer pos" 0.016 0.014 0.014 0.012
"joking continuation answer neutral" 0.003 0.0 0.0 0.0
"change change quest pos" 0.03 0.03 0.024 0.03
"elaboration elaboration answer neg" 0.012 0.012 0.012 0.014
"change continuation answer neg" 0.014 0.012 0.014 0.014
"change joking quest neg" 0.005 0.006 0.006 0.007
"change elaboration answer pos" 0.021 0.021 0.021 0.022
"joking elaboration answer pos" 0.027 0.03 0.03 0.03
"elaboration change answer neutral" 0.02 0.014 0.016 0.018
"joking change answer pos" 0.028 0.022 0.021 0.024
"elaboration change quest pos" 0.007 0.006 0.007 0.008
"elaboration change quest neutral" 0.008 0.007 0.008 0.01
"continuation change quest neutral" 0.006 0.007 0.005 0.006
"continuation change answer neutral" 0.036 0.04 0.036 0.04
"continuation elaboration answer neutral" 0.03 0.028 0.026 0.03
"continuation change answer neg" 0.016 0.013 0.016 0.014
"elaboration joking quest neutral" 0.028 0.025 0.019 0.03
"joking change quest neutral" 0.009 0.01 0.009 0.011
"joking joking answer pos" 0.831 0.554 0.666 0.293
"elaboration continuation quest pos" 0.012 0.01 0.011 0.01
"elaboration elaboration answer pos" 0.05 0.045 0.045 0.05
"continuation joking quest pos" 0.015 0.011 0.013 0.013
"change continuation answer neutral" 0.027 0.027 0.027 0.027
"change joking answer neutral" 0.027 0.027 0.024 0.03
"continuation joking answer neg" 0.011 0.009 0.009 0.009
"elaboration elaboration quest neutral" 0.011 0.01 0.011 0.01
"joking continuation answer neg" 0.004 0.0 0.008 0.0
"change change answer neutral" 0.006 0.006 0.007 0.008
