HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.HITTYPE_ID_level2,Input.HITTYPE_ID_level3,Input.HITTYPE_ID_level4,Input.WORKER_ID_level1,Input.WORKER_ID_level2,Input.WORKER_ID_level3,Input.WORKER_ID_level4,Input.Dialogueacts_level1,Input.Dialogueacts_level2,Input.Dialogueacts_level3,Input.Dialogueacts_level4,Input.slot0,Input.slot1,Input.slot2,Input.slot3,Input.slot4,Answer.change,Answer.continuation,Answer.continuation,Answer.elaboration,Answer.joking,Approve,Reject
33NKDW9FFX3DYVNS0SOMA2NWZJGXCY,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,3CFJTT4SXUCDI31V0RLCFQ4PXNJI7B,A2RKPHMUAYF2P9,Approved,Mon May 22 14:16:06 PDT 2017,Mon May 22 14:18:38 PDT 2017,Tue Jun 06 14:18:38 PDT 2017,Wed May 24 14:10:05 PDT 2017,,,152,100% (8/8),100% (8/8),100% (8/8),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A214JTAHTAWUKA,ASI2B6A3Y556Z,Answer.joking,Answer.change,Answer.change,Answer.change,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?","Do you think it is trespassing if at some point they said you could swim there? Like the neighbor said, ""Hey come swimming this weekend"", just the time you went they did not know?",I like water parks too.  Have you ever bee to one?  I think they are a lot of fun even though I did have a scary experience at one growing up.,"No, but have you been to aquariums? All the water with none of the wet!",,I've been to a ton! My favorite was in the Wisconsin Dells.,No way! The water there is super gross and dirty.,"I tried once, but my water doesn't get along with other water, so I just walk him around the block now.",,
3W1K7D6QSB2JTLV1NAGCW3XPPYEZBQ,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:43 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:43 PDT 2017,,,3TXD01ZLD53L87ECSACJVH8Q0HM4UT,AJF954955YWZG,Approved,Mon May 22 16:14:10 PDT 2017,Mon May 22 16:17:03 PDT 2017,Tue Jun 06 16:17:03 PDT 2017,Wed May 24 14:10:05 PDT 2017,,,173,100% (20/20),100% (20/20),100% (20/20),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A214JTAHTAWUKA,ASI2B6A3Y556Z,Answer.joking,Answer.change,Answer.change,Answer.continuation,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?","Do you think it is trespassing if at some point they said you could swim there? Like the neighbor said, ""Hey come swimming this weekend"", just the time you went they did not know?",Hmm.  I'm not sure if it's technically trespassing or not.  It sure seems like a good way to make your neighbor mad though.  It would probably be the last time they invited you to swim.,"That's true, the home owner's association might just have a coronary if he reported it.",,"Yeah, but this neighbor goes in my yard all the time. I don't think he would have minded.","Yeah, but he invites everyone to his prestigious pool parties in summer. He would have to invite me again!",Well if I happened to nonchalantly walk by his house with a plate of cookies he might change his mind.,,
3HFWPF5AK94HPE5ADP7YIR2AER1S3N,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:43 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:43 PDT 2017,,,3VNXK88KKD4MIS9OEVIF8BLP0G59VF,A2L7S6RZOZ6NM9,Approved,Mon May 22 15:59:22 PDT 2017,Mon May 22 16:01:57 PDT 2017,Tue Jun 06 16:01:57 PDT 2017,Wed May 24 14:10:05 PDT 2017,,,155,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A2ZOM62DKMSWDK,AE3CVK2OYA242,Answer.joking,Answer.change,Answer.elaboration,Answer.change,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?","I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous.",I enjoy swimming in lakes and all the activities that you can do in a lake. I have many fond memories of jumping on water trampolines over a lake when I was young.,I love to bounce.,,That sounds like a fun experiences. Jumping on trampolines is always fun.,"Yea, I had a trampoline too. It was in my backyard.",Just dont eat before you trampoline,,
3XQ4XW3OD9XS4W9R9PTTZHXI8D1S2C,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:43 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:43 PDT 2017,,,3634BBTX0PGQXWG1IAJO3IH6VBSFI2,A2L7S6RZOZ6NM9,Approved,Mon May 22 13:43:02 PDT 2017,Mon May 22 13:44:36 PDT 2017,Tue Jun 06 13:44:36 PDT 2017,Wed May 24 14:10:05 PDT 2017,,,94,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A2ZOM62DKMSWDK,AE3CVK2OYA242,Answer.joking,Answer.change,Answer.elaboration,Answer.continuation,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?","I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous.",It's a lot of fun. I used to be able to skinny dip in our pool since we had hedges all around our property that blocked peoples view.,Swimming is fun anywhere.,,"Yea, skinny dipping sounds pretty relaxing in nice water.",You skinny dipped? I would never!,You can skinny dip in my pool any day.,,
33Q5P9PUSP723QN71AC77N377JEZCX,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:43 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:43 PDT 2017,,,352YTHGROWZG3L8SSB5KC2J069N4HV,A2L7S6RZOZ6NM9,Approved,Mon May 22 16:25:28 PDT 2017,Mon May 22 16:26:21 PDT 2017,Tue Jun 06 16:26:21 PDT 2017,Wed May 24 14:10:05 PDT 2017,,,53,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A2ZOM62DKMSWDK,AE3CVK2OYA242,Answer.joking,Answer.change,Answer.elaboration,Answer.elaboration,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?","I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous.",It's such a freeing feeling to glide through the water and feel it sliding past your body.,Yea I love just relaxing.,,"Yea, I just love the thrill of that.","Yea, that feeling of the water hitting your body is amazing.","Yea, cold water on me. Great!",,
39I4RL8QGJ2DH1AY290IOINEJGH4H0,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,3LOTDFNYA8L8YR067RN349QEAMTFWC,A2L7S6RZOZ6NM9,Approved,Mon May 22 13:55:44 PDT 2017,Mon May 22 13:57:02 PDT 2017,Tue Jun 06 13:57:02 PDT 2017,Wed May 24 14:10:06 PDT 2017,,,78,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,AE3CVK2OYA242,A1U37XNO6J1R9G,Answer.joking,Answer.continuation,Answer.change,Answer.change,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","My favorite activity after going to the beach is to take a long hot bath. Though I don't get the opportunity often, there's something relaxing about baths.",I love putting bath bombs in the bath. Do you have a favorite bath bomb to use?,I feel like I'm ready for a nice bath now.,,I have lots of favorites. The cherry ones are the best.,"Yea, I have a couple favorites, but they are expensive.",My favorite is when I bathe without weird smells.,,
3SBNLSTU6UQC8ITL167IRTLPSJQZDX,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,3RU7GD8VPPFRIN8R1P97JE1X6GWSPR,AJF954955YWZG,Approved,Mon May 22 16:11:30 PDT 2017,Mon May 22 16:14:06 PDT 2017,Tue Jun 06 16:14:06 PDT 2017,Wed May 24 14:10:06 PDT 2017,,,156,100% (20/20),100% (20/20),100% (20/20),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,AE3CVK2OYA242,A1U37XNO6J1R9G,Answer.joking,Answer.continuation,Answer.change,Answer.elaboration,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","My favorite activity after going to the beach is to take a long hot bath. Though I don't get the opportunity often, there's something relaxing about baths.",A bath is a nice thing after the beach because the beach can actually be quite a pain. After cleaning the sand off of everything you deserve to relax!,Have you ever tried those beach scented bath bombs? They smell exactly like coconut and sunscreen.,,"Yeah, and beach sand is magical. It somehow makes your skin super soft.","I know, right? Beach baths should just be a given.","Yes, after stressing furiously at the beach, one must relieve themselves of that stress with a nice bath.",,
3S829FDFT2MN3NT60OJXU85EKJSXDY,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,3PEIJLRY6UFPYDRR7LTPAGQLESRWXO,A3OWGVIP4VYSPV,Approved,Mon May 22 15:39:04 PDT 2017,Mon May 22 15:41:00 PDT 2017,Tue Jun 06 15:41:00 PDT 2017,Wed May 24 14:10:06 PDT 2017,,,116,100% (34/34),100% (34/34),100% (14/14),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,AE3CVK2OYA242,A1FAX797NW6H3D,Answer.joking,Answer.continuation,Answer.continuation,Answer.change,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","I agree. I hate leaving the beach as well. Not only do you have the thought of a fun time that's now over, you've got a hole bunch of cleaning up to do.","Totally, but what do you think about the mountains? Have you ever gone hiking?",I think driving through the mountains would be great since I could then see the sights.,none,I don't think hiking is for me. It's a lot of hard work really.,I like the scenery of mountains but don't think I could handle hiking physically since I had my health issues.,I'd fall down the side of one and end up having to live in a cave.,,
378G7J1SJLJD6T2GMEYVY79SBTOEWG,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,3SKEMFQBZ4R8OCW2AZYU66FX0BFK8C,A2L7S6RZOZ6NM9,Approved,Mon May 22 14:20:35 PDT 2017,Mon May 22 14:21:27 PDT 2017,Tue Jun 06 14:21:27 PDT 2017,Wed May 24 14:10:06 PDT 2017,,,52,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,AE3CVK2OYA242,A1FAX797NW6H3D,Answer.joking,Answer.continuation,Answer.continuation,Answer.continuation,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","I agree. I hate leaving the beach as well. Not only do you have the thought of a fun time that's now over, you've got a hole bunch of cleaning up to do.","Yes, not to mention the unpacking and laundry that has to be done too.",I love wearing lots of clothes.,,"Yea, those are all not fun. Thats the worst part of traveling.","Yea, somebody has to do it  though.","Yea, you could just be dirty.",,
3DQYSJDTYLWSVT76WJUH0QNZKVTXER,3FKWIKNZF8II659Y8YV0Q733NAJE7C,Continue the Conversation Step 5,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25 ,Mon May 22 12:34:44 PDT 2017,1,BatchId:2811562;OriginalHitTemplateId:920937336;,3600,1296000,Mon May 29 12:34:44 PDT 2017,,,33LKR6A5KF6PGV245N37SNFL5I0T17,A2L7S6RZOZ6NM9,Approved,Mon May 22 14:19:22 PDT 2017,Mon May 22 14:20:34 PDT 2017,Tue Jun 06 14:20:34 PDT 2017,Wed May 24 14:10:06 PDT 2017,,,72,100% (83/83),100% (83/83),100% (83/83),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1SZ98O1SZSBCP,A1NIKHUA79SWGD,A8MFZOKZ7DV0X,A3GNQDFPZALU92,Answer.joking,Answer.continuation,Answer.change,Answer.change,I love walking along the beach.,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach.","I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!","I've been thinking about Vacation this year, do you plan on taking one? If so, where you going?","I don't know, I'm arguing with my family about it, so I don't even want to talk about it. What I really want to do is take a month off and work on my book. But I don't think I'm going to be able to do that. Let me tell you what I was thinking about in terms of the next chapter, though, okay?",I love reading books.,,"Yea, what were you thinking about.","Sure, it sounds like you  really have a great idea of what you're doing.","Sure, spoil it so I don't want to read it. Go ahead.",,
