Turns,level,HITtype_ID,Worker_ID,Dialogueacts,Responses
,,,,,
1,0,---,---,prompt,I love walking along the beach.
,,,,,
1,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
1,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.change,"Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?"
,,,,,
1,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A214JTAHTAWUKA,Answer.change,"Do you think it is trespassing if at some point they said you could swim there? Like the neighbor said, ""Hey come swimming this weekend"", just the time you went they did not know?"
,,,,,
1,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,ASI2B6A3Y556Z,Answer.change,I like water parks too.  Have you ever bee to one?  I think they are a lot of fun even though I did have a scary experience at one growing up.
,,,,,
1,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2RKPHMUAYF2P9,Answer.change,"No, but have you been to aquariums? All the water with none of the wet!"
,,,,,
2,0,---,---,prompt,I love walking along the beach.
,,,,,
2,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
2,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.change,"Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?"
,,,,,
2,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A214JTAHTAWUKA,Answer.change,"Do you think it is trespassing if at some point they said you could swim there? Like the neighbor said, ""Hey come swimming this weekend"", just the time you went they did not know?"
,,,,,
2,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,ASI2B6A3Y556Z,Answer.continuation,Hmm.  I'm not sure if it's technically trespassing or not.  It sure seems like a good way to make your neighbor mad though.  It would probably be the last time they invited you to swim.
,,,,,
2,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,AJF954955YWZG,Answer.continuation,"Yeah, but this neighbor goes in my yard all the time. I don't think he would have minded."
,,,,,
3,0,---,---,prompt,I love walking along the beach.
,,,,,
3,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
3,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.change,"Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?"
,,,,,
3,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A2ZOM62DKMSWDK,Answer.elaboration,"I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous."
,,,,,
3,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.change,I enjoy swimming in lakes and all the activities that you can do in a lake. I have many fond memories of jumping on water trampolines over a lake when I was young.
,,,,,
3,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.elaboration,"Yea, I had a trampoline too. It was in my backyard."
,,,,,
4,0,---,---,prompt,I love walking along the beach.
,,,,,
4,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
4,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.change,"Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?"
,,,,,
4,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A2ZOM62DKMSWDK,Answer.elaboration,"I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous."
,,,,,
4,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.continuation,It's a lot of fun. I used to be able to skinny dip in our pool since we had hedges all around our property that blocked peoples view.
,,,,,
4,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.joking,You can skinny dip in my pool any day.
,,,,,
5,0,---,---,prompt,I love walking along the beach.
,,,,,
5,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
5,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.change,"Speaking of the beach, I love skinny dipping. It's so fun, if you don't get caught. Have you ever been skinny dipping? It doesn't have to be at the beach. Could be a pool or anywhere. Have you done it?"
,,,,,
5,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A2ZOM62DKMSWDK,Answer.elaboration,"I have to be with people I really trust. I like to go way out into a lake, where you can't touch the bottom, and take off my swimsuit. The water all over, with no cloth in between it and my body, is really sensuous."
,,,,,
5,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.elaboration,It's such a freeing feeling to glide through the water and feel it sliding past your body.
,,,,,
5,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.change,Yea I love just relaxing.
,,,,,
6,0,---,---,prompt,I love walking along the beach.
,,,,,
6,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
6,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
6,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.change,"My favorite activity after going to the beach is to take a long hot bath. Though I don't get the opportunity often, there's something relaxing about baths."
,,,,,
6,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1U37XNO6J1R9G,Answer.change,I love putting bath bombs in the bath. Do you have a favorite bath bomb to use?
,,,,,
6,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,A2L7S6RZOZ6NM9,Answer.continuation,I have lots of favorites. The cherry ones are the best.
,,,,,
7,0,---,---,prompt,I love walking along the beach.
,,,,,
7,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
7,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
7,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.change,"My favorite activity after going to the beach is to take a long hot bath. Though I don't get the opportunity often, there's something relaxing about baths."
,,,,,
7,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1U37XNO6J1R9G,Answer.elaboration,A bath is a nice thing after the beach because the beach can actually be quite a pain. After cleaning the sand off of everything you deserve to relax!
,,,,,
7,5,3FKWIKNZF8II659Y8YV0Q733NAJE7C,AJF954955YWZG,Answer.elaboration,"I know, right? Beach baths should just be a given."
,,,,,
8,0,---,---,prompt,I love walking along the beach.
,,,,,
8,1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.joking,"I love the beach. I especially love how the sand sticks to your feet, and when you leave you get a car full of sand to remind you of how much you love the beach."
,,,,,
8,2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,A1NIKHUA79SWGD,Answer.continuation,"I mean, I do love the beach too, seriously, but cleaning out your car afterwards is a pain. That sand has a way of getting down in between your seats, and in tiny cracks that are hard to clean out. Not to be a pessimist or anything, though! The beach is nice, seriously. Just don't like when you leave!"
,,,,,
8,3,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,AE3CVK2OYA242,Answer.continuation,"I agree. I hate leaving the beach as well. Not only do you have the thought of a fun time that's now over, you've got a hole bunch of cleaning up to do."
,,,,,
8,4,3NN44GVSBIJT5CKVWCJ0E21WYEFFGW,A1FAX797NW6H3D,Answer.change,"Totally, but what do you think about the mountains? Have you ever gone hiking?"
,,,,,
