 change continuation elaboration joking
"null prompt pos answer" 0.0 0.0 0.0 0.0
"change change quest pos" 2.039 1.976 1.681 1.926
"continuation change quest pos" 0.0 0.0 0.0 0.0
"elaboration change quest pos" 1.401 1.293 1.394 1.64
"joking change quest pos" 0.0 0.0 0.0 0.0
"change continuation quest pos" 1.64 1.51 1.765 1.992
"continuation continuation quest pos" 0.0 0.0 0.0 0.0
"elaboration continuation quest pos" 1.223 1.085 1.103 0.966
"joking continuation quest pos" 0.0 0.0 0.0 0.0
"change elaboration quest pos" 0.0 0.0 0.0 0.0
"continuation elaboration quest pos" 0.0 0.0 0.0 0.0
"elaboration elaboration quest pos" 0.0 0.0 0.0 0.0
"joking elaboration quest pos" 0.0 0.0 0.0 0.0
"change joking quest pos" 0.0 0.0 0.0 0.0
"continuation joking quest pos" 3.038 2.25 2.621 2.549
"elaboration joking quest pos" 0.0 0.0 0.0 0.0
"joking joking quest pos" 0.0 0.0 0.0 0.0
"change change quest neg" 0.0 0.0 0.0 0.0
"continuation change quest neg" 0.0 0.0 0.0 0.0
"elaboration change quest neg" 0.0 0.0 0.0 0.0
"joking change quest neg" 0.0 0.0 0.0 0.0
"change continuation quest neg" 0.0 0.0 0.0 0.0
"continuation continuation quest neg" 0.0 0.0 0.0 0.0
"elaboration continuation quest neg" 0.0 0.0 0.0 0.0
"joking continuation quest neg" 0.0 0.0 0.0 0.0
"change elaboration quest neg" 0.0 0.0 0.0 0.0
"continuation elaboration quest neg" 0.0 0.0 0.0 0.0
"elaboration elaboration quest neg" 0.0 0.0 0.0 0.0
"joking elaboration quest neg" 0.0 0.0 0.0 0.0
"change joking quest neg" 1.003 1.222 1.212 1.313
"continuation joking quest neg" 0.0 0.0 0.0 0.0
"elaboration joking quest neg" 0.0 0.0 0.0 0.0
"joking joking quest neg" 0.0 0.0 0.0 0.0
"change change quest neutral" 1.475 1.706 1.597 1.712
"continuation change quest neutral" 1.203 1.336 1.098 1.273
"elaboration change quest neutral" 1.517 1.402 1.587 1.928
"joking change quest neutral" 1.765 2.083 1.875 2.23
"change continuation quest neutral" 0.0 0.0 0.0 0.0
"continuation continuation quest neutral" 0.0 0.0 0.0 0.0
"elaboration continuation quest neutral" 0.0 0.0 0.0 0.0
"joking continuation quest neutral" 0.0 0.0 0.0 0.0
"change elaboration quest neutral" 0.0 0.0 0.0 0.0
"continuation elaboration quest neutral" 0.0 0.0 0.0 0.0
"elaboration elaboration quest neutral" 2.19 2.059 2.126 1.931
"joking elaboration quest neutral" 0.0 0.0 0.0 0.0
"change joking quest neutral" 2.437 2.125 2.141 2.367
"continuation joking quest neutral" 0.0 0.0 0.0 0.0
"elaboration joking quest neutral" 2.869 2.508 1.906 3.092
"joking joking quest neutral" 0.0 0.0 0.0 0.0
"change change answer pos" 2.012 1.885 1.815 2.03
"continuation change answer pos" 2.157 2.423 2.435 2.443
"elaboration change answer pos" 1.863 1.795 1.802 2.124
"joking change answer pos" 2.731 2.12 2.107 2.333
"change continuation answer pos" 2.021 1.971 1.862 2.04
"continuation continuation answer pos" 2.262 2.017 1.952 2.181
"elaboration continuation answer pos" 1.674 1.728 1.664 1.777
"joking continuation answer pos" 1.824 1.622 1.853 1.994
"change elaboration answer pos" 1.453 1.477 1.493 1.508
"continuation elaboration answer pos" 1.737 1.885 1.754 1.889
"elaboration elaboration answer pos" 2.086 1.751 1.889 2.044
"joking elaboration answer pos" 1.877 1.939 1.983 2.024
"change joking answer pos" 1.585 1.499 1.456 1.248
"continuation joking answer pos" 1.829 1.703 1.845 1.807
"elaboration joking answer pos" 1.793 1.631 1.583 1.364
"joking joking answer pos" 2.273 2.206 1.933 2.042
"change change answer neg" 0.0 0.0 0.0 0.0
"continuation change answer neg" 3.243 2.583 3.261 2.857
"elaboration change answer neg" 0.0 0.0 0.0 0.0
"joking change answer neg" 0.0 0.0 0.0 0.0
"change continuation answer neg" 1.351 1.29 1.329 1.424
"continuation continuation answer neg" 0.0 0.0 0.0 0.0
"elaboration continuation answer neg" 0.0 0.0 0.0 0.0
"joking continuation answer neg" 0.0 0.0 0.0 0.0
"change elaboration answer neg" 0.0 0.0 0.0 0.0
"continuation elaboration answer neg" 0.0 0.0 0.0 0.0
"elaboration elaboration answer neg" 1.254 1.223 1.275 1.323
"joking elaboration answer neg" 0.0 0.0 0.0 0.0
"change joking answer neg" 0.0 0.0 0.0 0.0
"continuation joking answer neg" 2.29 1.793 1.707 1.884
"elaboration joking answer neg" 0.0 0.0 0.0 0.0
"joking joking answer neg" 0.0 0.0 0.0 0.0
"change change answer neutral" 1.194 1.27 1.373 1.542
"continuation change answer neutral" 1.842 1.996 1.849 1.978
"elaboration change answer neutral" 2.07 1.477 1.656 1.809
"joking change answer neutral" 2.462 1.929 1.971 2.357
"change continuation answer neutral" 1.791 1.753 1.804 1.814
"continuation continuation answer neutral" 1.72 1.703 1.821 1.807
"elaboration continuation answer neutral" 1.866 1.695 1.702 1.813
"joking continuation answer neutral" 0.0 0.0 0.0 0.0
"change elaboration answer neutral" 1.932 1.852 1.904 2.121
"continuation elaboration answer neutral" 3.069 2.82 2.534 2.935
"elaboration elaboration answer neutral" 1.906 1.858 1.653 2.091
"joking elaboration answer neutral" 2.144 1.929 2.199 2.259
"change joking answer neutral" 1.779 1.816 1.594 1.949
"continuation joking answer neutral" 2.393 1.909 2.354 2.469
"elaboration joking answer neutral" 1.537 1.641 1.553 1.701
"joking joking answer neutral" 3.521 2.927 2.063 2.182
